 
****************************************
Report : area
Design : conv_top
Version: R-2020.09-SP5
Date   : Thu Dec 23 18:51:24 2021
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                        14325
Number of nets:                         59310
Number of cells:                        35383
Number of combinational cells:          32772
Number of sequential cells:              2550
Number of macros/black boxes:               0
Number of buf/inv:                       5561
Number of references:                       6

Combinational area:              91366.799887
Buf/Inv area:                     7067.744668
Noncombinational area:           16849.747753
Macro/Black Box area:                0.000000
Net Interconnect area:           24473.902815

Total cell area:                108216.547640
Total area:                     132690.450455

Hierarchical area distribution
------------------------------

                                  Global cell area             Local cell area
                                  --------------------  ------------------------------ 
Hierarchical cell                 Absolute     Percent  Combi-      Noncombi-   Black-
                                  Total        Total    national    national    boxes   Design
conv3x3_U0/conv1x1_u4/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_18
conv3x3_U0/conv1x1_u4/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_17
conv3x3_U0/conv1x1_u4/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_16
conv3x3_U0/conv1x1_u5               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_3
conv3x3_U0/conv1x1_u5/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_15
conv3x3_U0/conv1x1_u5/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_14
conv3x3_U0/conv1x1_u5/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_13
conv3x3_U0/conv1x1_u5/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_12
conv3x3_U0/conv1x1_u6               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_2
conv3x3_U0/conv1x1_u6/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_11
conv3x3_U0/conv1x1_u6/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_10
conv3x3_U0/conv1x1_u6/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_9
conv3x3_U0/conv1x1_u6/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_8
conv3x3_U0/conv1x1_u7               7591.7895      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_1
conv3x3_U0/conv1x1_u7/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_7
conv3x3_U0/conv1x1_u7/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_6
conv3x3_U0/conv1x1_u7/mm_U2         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_5
conv3x3_U0/conv1x1_u7/mm_U3         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_4
conv3x3_U0/conv1x1_u8               7579.0823      7.0    951.5151      0.0000  0.0000  conv1x1_16to4ch_BW_MATMUL16_BW_CONV1x118_mydesign_0
conv3x3_U0/conv1x1_u8/mm_U0         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_3
conv3x3_U0/conv1x1_u8/mm_U1         1660.0686      1.5   1660.0686      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_2
conv3x3_U0/conv1x1_u8/mm_U2         1657.5271      1.5   1657.5271      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_1
conv3x3_U0/conv1x1_u8/mm_U3         1649.9028      1.5   1649.9028      0.0000  0.0000  matmul_BW_MATMUL16_mydesign_0
conv3x3_U0/conv_adder_U0            1015.0511      0.9   1015.0511      0.0000  0.0000  conv_adder_BW_CONV1x118_BW_BIAS23_mydesign_3
conv3x3_U0/conv_adder_U1            1012.5097      0.9   1012.5097      0.0000  0.0000  conv_adder_BW_CONV1x118_BW_BIAS23_mydesign_2
conv3x3_U0/conv_adder_U2            1012.5097      0.9   1012.5097      0.0000  0.0000  conv_adder_BW_CONV1x118_BW_BIAS23_mydesign_1
conv3x3_U0/conv_adder_U3            1012.5097      0.9   1012.5097      0.0000  0.0000  conv_adder_BW_CONV1x118_BW_BIAS23_mydesign_0
postproc_U0                        19194.2255     17.7      2.5414    211.4478  0.0000  postproc_GROUP_CHANNEL4_BW_BIAS23_BW_RELU32
postproc_U0/ReLU_U0                 9974.1353      9.2   9974.1353      0.0000  0.0000  ReLU_GROUP_CHANNEL4_BW_BIAS23_BW_RELU32
postproc_U0/quantization_1ch_U0      892.0454      0.8    892.0454      0.0000  0.0000  quantization_1ch_GROUP_CHANNEL4_BW_RELU32_mydesign_3
postproc_U0/quantization_1ch_U1      895.8576      0.8    895.8576      0.0000  0.0000  quantization_1ch_GROUP_CHANNEL4_BW_RELU32_mydesign_2
postproc_U0/quantization_1ch_U2      889.5040      0.8    889.5040      0.0000  0.0000  quantization_1ch_GROUP_CHANNEL4_BW_RELU32_mydesign_1
postproc_U0/quantization_1ch_U3      913.3935      0.8    913.3935      0.0000  0.0000  quantization_1ch_GROUP_CHANNEL4_BW_RELU32_mydesign_0
postproc_U0/residual_add_U0          709.0618      0.7    709.0618      0.0000  0.0000  residual_add_GROUP_CHANNEL4_BW_RELU32_mydesign_3
postproc_U0/residual_add_U1          708.0452      0.7    708.0452      0.0000  0.0000  residual_add_GROUP_CHANNEL4_BW_RELU32_mydesign_2
postproc_U0/residual_add_U2          705.2496      0.7    705.2496      0.0000  0.0000  residual_add_GROUP_CHANNEL4_BW_RELU32_mydesign_1
postproc_U0/residual_add_U3          709.5700      0.7    709.5700      0.0000  0.0000  residual_add_GROUP_CHANNEL4_BW_RELU32_mydesign_0
postproc_U0/shift_ctrl_U0           2583.3738      2.4   2583.3738      0.0000  0.0000  shift_ctrl
--------------------------------  -----------  -------  ----------  ----------  ------  ----------------------------------------------------
Total                                                   91366.7999  16849.7478  0.0000

1
